Designação;Alt. Total;Alt. Fora Solo;Bet./Met.;Fz;Fxa;Fya;Fxb;Fyb;Peso;V.Esc;B.Normal;B.Moldado;B.Ciclopico;
2xAM06-2750/960-14;14,0;11,5;B;4000;2000;5500;4512;2132;7080;16,20;0,00;0,00;14,58;
2xAM06-2750/960-16;16,0;13,5;B;4000;2000;5500;4306;2036;8800;16,20;0,00;0,00;14,58;
2xAM06-2750/960-18;18,0;15,5;B;4000;2000;5500;4086;1932;10700;16,20;0,00;0,00;14,58;
2xAM06-2750/960-20;20,0;17,5;B;4000;2000;5500;3856;1822;12780;24,20;0,00;0,00;21,78;
2xAM06-2750/960-22;22,0;19,5;B;4000;2000;5500;3612;1708;15020;24,20;0,00;0,00;21,78;
2xAM06-2750/960-24;24,0;21,5;B;4000;2000;5500;3356;1586;17400;24,20;0,00;0,00;21,78;
2xAM06-2750/960-26;26,0;23,5;B;4000;2000;5500;3086;1458;19980;28,80;0,00;0,00;25,92;
2xAM06-2750/960-28;28,0;25,5;B;4000;2000;5500;2804;1326;22860;28,80;0,00;0,00;25,92;
2xK12-90/40-14;14,0;11,0;B;4000;8000;18000;15962;7094;11820;50,46;0,00;0,00;45,41;
2xK12-90/40-16;16,0;13,0;B;4000;8000;18000;15962;7094;14220;50,46;0,00;0,00;45,41;
2xK12-90/40-18;18,0;15,0;B;4000;8000;18000;15962;7094;16820;50,46;0,00;0,00;45,41;
2xK12-90/40-20;20,0;17,0;B;4000;8000;18000;15962;7094;19580;71,42;0,00;0,00;64,27;
2xK12-90/40-22;22,0;19,0;B;4000;8000;18000;15962;7094;22660;71,42;0,00;0,00;64,27;
2xK12-90/40-24;24,0;21,0;B;4000;8000;18000;15962;7094;25960;71,42;0,00;0,00;64,27;
2xK12-90/40-26;26,0;23,0;B;4000;8000;18000;15962;7094;29420;86,64;0,00;0,00;77,98;
2xK12-90/40-28;28,0;25,0;B;4000;8000;18000;15962;7094;33140;86,64;0,00;0,00;77,98;
2xK12-90/40-30;30,0;27,0;B;4000;8000;18000;15962;7094;36880;96,00;0,00;0,00;86,40;
2xK12-90/40-32;32,0;29,0;B;4000;8000;18000;15962;7094;40780;96,00;0,00;0,00;86,40;
2xK14-110/45-14;14,0;11,0;B;4000;9000;22000;19536;7992;13460;65,34;0,00;0,00;58,81;
2xK14-110/45-16;16,0;13,0;B;4000;9000;22000;19536;7992;16080;65,34;0,00;0,00;58,81;
2xK14-110/45-18;18,0;15,0;B;4000;9000;22000;19536;7992;18880;65,34;0,00;0,00;58,81;
2xK14-110/45-20;20,0;16,5;B;4000;9000;22000;19536;7992;22000;68,14;0,00;0,00;61,33;
2xK14-110/45-22;22,0;18,5;B;4000;9000;22000;19536;7992;25320;68,14;0,00;0,00;61,33;
2xK14-110/45-24;24,0;20,5;B;4000;9000;22000;19536;7992;28840;68,14;0,00;0,00;61,33;
2xK14-110/45-26;26,0;22,5;B;4000;9000;22000;19536;7992;32540;80,92;0,00;0,00;72,83;
2xK14-110/45-28;28,0;24,5;B;4000;9000;22000;19536;7992;36320;80,92;0,00;0,00;72,83;
2xK14-110/45-30;30,0;26,5;B;4000;9000;22000;19536;7992;40200;112,00;0,00;0,00;100,80;
2xK14-110/45-32;32,0;28,5;B;4000;9000;22000;19536;7992;44300;112,00;0,00;0,00;100,80;
2xK16-125/50-14;14,0;11,0;B;4000;10200;25000;22340;9114;15200;73,50;0,00;0,00;66,15;
2xK16-125/50-16;16,0;13,0;B;4000;10200;25000;22340;9114;18040;73,50;0,00;0,00;66,15;
2xK16-125/50-18;18,0;15,0;B;4000;10200;25000;22340;9114;21140;73,50;0,00;0,00;66,15;
2xK16-125/50-20;20,0;16,5;B;4000;10200;25000;22340;9114;24460;80,92;0,00;0,00;72,83;
2xK16-125/50-22;22,0;18,5;B;4000;10200;25000;22340;9114;27980;80,92;0,00;0,00;72,83;
2xK16-125/50-24;24,0;20,5;B;4000;10200;25000;22340;9114;31720;80,92;0,00;0,00;72,83;
2xK16-125/50-26;26,0;22,5;B;4000;10200;25000;22340;9114;35480;95,83;0,00;0,00;86,25;
2xK16-125/50-28;28,0;24,5;B;4000;10200;25000;22340;9114;39420;95,83;0,00;0,00;86,25;
2xK16-125/50-30;30,0;26,5;B;4000;10200;25000;22340;9114;43560;112,00;0,00;0,00;100,80;
2xK16-125/50-32;32,0;28,5;B;4000;10200;25000;22340;9114;47920;112,00;0,00;0,00;100,80;
2xK18-145/57-14;14,0;10,5;B;4000;11400;29000;26010;10224;17140;67,27;0,00;0,00;60,54;
2xK18-145/57-16;16,0;12,5;B;4000;11400;29000;26010;10224;20240;67,27;0,00;0,00;60,54;
2xK18-145/57-18;18,0;14,5;B;4000;11400;29000;26010;10224;23600;67,27;0,00;0,00;60,54;
2xK18-145/57-20;20,0;16,5;B;4000;11400;29000;26010;10224;27120;95,83;0,00;0,00;86,25;
2xK18-145/57-22;22,0;18,5;B;4000;11400;29000;26010;10224;30880;95,83;0,00;0,00;86,25;
2xK18-145/57-24;24,0;20,5;B;4000;11400;29000;26010;10224;34660;95,83;0,00;0,00;86,25;
2xK18-145/57-26;26,0;22,5;B;4000;11400;29000;26010;10224;38640;112,00;0,00;0,00;100,80;
2xK18-145/57-28;28,0;24,5;B;4000;11400;29000;26010;10224;42800;112,00;0,00;0,00;100,80;
2xK18-145/57-30;30,0;26,5;B;4000;11400;29000;26010;10224;47140;135,52;0,00;0,00;121,97;
2xK18-145/57-32;32,0;28,5;B;4000;11400;29000;26010;10224;51700;135,52;0,00;0,00;121,97;
2xK20-165/63-14;14,0;10,5;B;4000;12600;33000;29690;11336;19320;80,92;0,00;0,00;72,83;
2xK20-165/63-16;16,0;12,5;B;4000;12600;33000;29690;11336;22640;80,92;0,00;0,00;72,83;
2xK20-165/63-18;18,0;14,5;B;4000;12600;33000;29690;11336;26220;80,92;0,00;0,00;72,83;
2xK20-165/63-20;20,0;16,5;B;4000;12600;33000;29690;11336;29980;112,00;0,00;0,00;100,80;
2xK20-165/63-22;22,0;18,5;B;4000;12600;33000;29690;11336;33800;112,00;0,00;0,00;100,80;
2xK20-165/63-24;24,0;20,5;B;4000;12600;33000;29690;11336;37800;112,00;0,00;0,00;100,80;
2xK20-165/63-26;26,0;22,5;B;4000;12600;33000;29690;11336;41980;135,52;0,00;0,00;121,97;
2xK20-165/63-28;28,0;24,5;B;4000;12600;33000;29690;11336;46360;135,52;0,00;0,00;121,97;
2xK20-165/63-30;30,0;26,5;B;4000;12600;33000;29690;11336;50900;154,63;0,00;0,00;139,17;
2xK20-165/63-32;32,0;28,5;B;4000;12600;33000;29690;11336;55680;154,63;0,00;0,00;139,17;
2xMM06-2750/960-14;14,0;11,5;B;4000;2600;5500;4512;2132;7080;16,20;0,00;0,00;14,58;
2xMM06-2750/960-16;16,0;13,5;B;4000;2600;5500;4306;2036;8800;16,20;0,00;0,00;14,58;
2xMM06-2750/960-18;18,0;15,5;B;4000;2600;5500;4086;1932;10700;16,20;0,00;0,00;14,58;
2xMM06-2750/960-20;20,0;17,5;B;4000;2600;5500;3856;1822;12780;24,20;0,00;0,00;21,78;
2xMM06-2750/960-22;22,0;19,5;B;4000;2600;5500;3612;1708;15020;24,20;0,00;0,00;21,78;
2xMM06-2750/960-24;24,0;21,5;B;4000;2600;5500;3356;1586;17400;24,20;0,00;0,00;21,78;
2xMM06-2750/960-26;26,0;23,5;B;4000;2600;5500;3086;1458;19980;28,80;0,00;0,00;25,96;
2xMM06-2750/960-28;28,0;25,5;B;4000;2600;5500;1804;1326;22860;28,80;0,00;0,00;25,96;
2xMM08-3500/1260-14;14,0;11,5;B;4000;3200;7000;5844;2672;8340;26,46;0,00;0,00;22,18;
2xMM08-3500/1260-16;16,0;13,5;B;4000;3200;7000;5608;2564;10240;26,46;0,00;0,00;22,18;
2xMM08-3500/1260-18;18,0;15,5;B;4000;3200;7000;5360;2450;12340;26,46;0,00;0,00;22,18;
2xMM08-3500/1260-20;20,0;17,5;B;4000;3200;7000;5098;2330;14600;36,46;0,00;0,00;32,80;
2xMM08-3500/1260-22;22,0;19,5;B;4000;3200;7000;4822;2204;17000;36,46;0,00;0,00;32,80;
2xMM08-3500/1260-24;24,0;21,5;B;4000;3200;7000;4534;2072;19600;36,46;0,00;0,00;32,80;
2xMM08-3500/1260-26;26,0;23,5;B;4000;3200;7000;4232;1936;22480;45,00;0,00;0,00;40,50;
2xMM08-3500/1260-28;28,0;25,5;B;4000;3200;7000;3918;1792;25560;45,00;0,00;0,00;40,50;
AM04-2250/740-14;14,0;11,5;B;4000;1000;2250;1775;789;3010;5,63;0,00;0,00;5,06;
AM04-2250/740-16;16,0;13,5;B;4000;1000;2250;1674;744;3760;5,63;0,00;0,00;5,06;
AM04-2250/740-18;18,0;15,5;B;4000;1000;2250;1565;695;4620;5,63;0,00;0,00;5,06;
