Tipo de Armação;Hcg;H1;H2;H3;L1;L2;L3;Fh;Fv;Tipo;Peso;
CR1;0,00;-3,00;-4,50;-6,00;2,35;-2,35;2,70;1638;1078;S;0;
CR2;0,00;-3,00;-4,50;-6,00;2,35;-2,35;2,70;1638;1078;S;0;
CR3;0,00;-3,00;-4,50;-6,00;2,35;-2,35;2,70;1638;1078;S;0;
CR4;0,00;-3,00;-4,50;-6,00;2,35;-2,35;2,70;1638;1078;S;0;
CR5;0,00;-3,00;-4,50;-6,00;2,35;-2,35;2,70;1638;1078;S;0;
CR6;0,00;-3,00;-4,50;-6,00;2,35;-2,35;2,70;1638;1078;S;0;
CR7;0,00;-3,00;-4,50;-6,00;2,35;-2,35;2,70;1638;1078;S;0;
DR0;1,50;-1,45;-3,65;-5,85;2,35;2,70;2,35;2476;512;D;0;
DR0 S/CABEÇOTE;0,00;-1,45;-3,65;-5,85;2,35;2,70;2,35;2476;512;D;0;
DR1;1,50;-1,45;-3,65;-5,85;2,35;2,70;2,35;2476;512;D;0;
DR1 S/CABEÇOTE;0,00;-1,45;-3,65;-5,85;2,35;2,70;2,35;2476;512;D;0;
DR10;1,50;-1,45;-3,65;-5,85;2,35;2,70;2,35;2476;512;D;0;
DR10 S/CABEÇOTE;0,00;-1,45;-3,65;-5,85;2,35;2,70;2,35;2476;512;D;0;
DR11;1,50;-1,45;-3,65;-5,85;2,35;2,70;2,35;2476;512;D;0;
DR11 S/CABEÇOTE;0,00;-1,45;-3,65;-5,85;2,35;2,70;2,35;2476;512;D;0;
DR12;1,50;-1,45;-3,65;-5,85;2,35;2,70;2,35;2476;512;D;0;
DR12 S/CABEÇOTE;0,00;-1,45;-3,65;-5,85;2,35;2,70;2,35;2476;512;D;0;
DR2;1,50;-1,45;-3,65;-5,85;2,35;2,70;2,35;2476;512;D;0;
DR2 S/CABEÇOTE;0,00;-1,45;-3,65;-5,85;2,35;2,70;2,35;2476;512;D;0;
DR3;1,50;-1,45;-3,65;-5,85;2,35;2,70;2,35;2476;512;D;0;
DR3 S/CABEÇOTE;0,00;-1,45;-3,65;-5,85;2,35;2,70;2,35;2476;512;D;0;
DR4;1,50;-1,45;-3,65;-5,85;2,35;2,70;2,35;2476;512;D;0;
DR4 S/CABEÇOTE;0,00;-1,45;-3,65;-5,85;2,35;2,70;2,35;2476;512;D;0;
DR5;1,50;-1,45;-3,65;-5,85;2,35;2,70;2,35;2476;512;D;0;
DR5 S/CABEÇOTE;0,00;-1,45;-3,65;-5,85;2,35;2,70;2,35;2476;512;D;0;
DR6;1,50;-1,45;-3,65;-5,85;2,35;2,70;2,35;2476;512;D;0;
DR6 S/CABEÇOTE;0,00;-1,45;-3,65;-5,85;2,35;2,70;2,35;2476;512;D;0;
DR7;1,50;-1,45;-3,65;-5,85;2,35;2,70;2,35;2476;512;D;0;
DR7 S/CABEÇOTE;0,00;-1,45;-3,65;-5,85;2,35;2,70;2,35;2476;512;D;0;
DR8;1,50;-1,45;-3,65;-5,85;2,35;2,70;2,35;2476;512;D;0;
DR8 S/CABEÇOTE;0,00;-1,45;-3,65;-5,85;2,35;2,70;2,35;2476;512;D;0;
